time,"I(VEX0)","I(VEX60)","I(IIN1)","I(IIN3)","I(LST|X1)","I(LST|X2)","I(LST|X3)","I(L1|X4)","I(L2|X4)","I(L3|X4)","I(LCON)","I(LST|X5)","I(LOUT)"
1.000000e-09,-1.032933e-03,-1.734117e-04,1.000000e-05,1.000000e-05,-6.578095e-05,-9.602307e-05,-6.578095e-05,-2.279463e-06,-2.922484e-06,-2.279463e-06,-7.481410e-06,-7.527811e-06,-1.881953e-06
1.011250e-09,-1.030461e-03,-1.939872e-04,1.000000e-05,1.000000e-05,-6.574556e-05,-9.581534e-05,-6.574556e-05,-2.254478e-06,-2.902693e-06,-2.254478e-06,-7.411649e-06,-8.243074e-06,-2.060768e-06
1.022250e-09,-1.022951e-03,-2.131720e-04,1.000000e-05,1.000000e-05,-6.557131e-05,-9.560668e-05,-6.557131e-05,-2.206415e-06,-2.887475e-06,-2.206415e-06,-7.300306e-06,-9.265104e-06,-2.316276e-06
1.033250e-09,-1.010509e-03,-2.313343e-04,1.000000e-05,1.000000e-05,-6.539587e-05,-9.533862e-05,-6.539587e-05,-2.139042e-06,-2.862730e-06,-2.139042e-06,-7.140814e-06,-1.082105e-05,-2.705263e-06
1.044250e-09,-9.933558e-04,-2.483897e-04,1.000000e-05,1.000000e-05,-6.523326e-05,-9.493484e-05,-6.523326e-05,-2.037308e-06,-2.817571e-06,-2.037308e-06,-6.892187e-06,-1.337913e-05,-3.344782e-06
1.055250e-09,-9.713918e-04,-2.642500e-04,1.000000e-05,1.000000e-05,-6.495288e-05,-9.428073e-05,-6.495288e-05,-1.850015e-06,-2.739839e-06,-1.850015e-06,-6.439868e-06,-1.806350e-05,-4.515876e-06
1.066250e-09,-9.447817e-04,-2.788059e-04,1.000000e-05,1.000000e-05,-6.454261e-05,-9.319273e-05,-6.454261e-05,-1.451319e-06,-2.583431e-06,-1.451319e-06,-5.486070e-06,-2.819899e-05,-7.049747e-06
1.077250e-09,-9.137056e-04,-2.919914e-04,1.000000e-05,1.000000e-05,-6.382679e-05,-9.138530e-05,-6.382679e-05,-4.079909e-07,-2.226591e-06,-4.079909e-07,-3.042573e-06,-5.470959e-05,-1.367740e-05
1.088250e-09,-8.782474e-04,-3.043164e-04,1.000000e-05,1.000000e-05,-6.286606e-05,-8.851628e-05,-6.286606e-05,9.917798e-07,-1.713705e-06,9.917798e-07,2.698548e-07,-9.059454e-05,-2.264864e-05
1.099250e-09,-8.385977e-04,-3.145060e-04,1.000000e-05,1.000000e-05,-6.207308e-05,-8.371030e-05,-6.207308e-05,1.135340e-06,-1.367467e-06,1.135340e-06,9.032142e-07,-9.608475e-05,-2.402119e-05
1.110250e-09,-7.950005e-04,-3.234312e-04,1.000000e-05,1.000000e-05,-6.101669e-05,-7.437386e-05,-6.101669e-05,1.029332e-06,-7.582650e-07,1.029332e-06,1.300398e-06,-9.789788e-05,-2.447447e-05
1.121250e-09,-7.478136e-04,-3.308200e-04,1.000000e-05,1.000000e-05,-5.954806e-05,-5.003122e-05,-5.954806e-05,4.871004e-07,8.594601e-07,4.871004e-07,1.833661e-06,-9.845722e-05,-2.461431e-05
1.132250e-09,-6.958977e-04,-3.366214e-04,1.000000e-05,1.000000e-05,-5.720220e-05,-1.859254e-06,-5.720220e-05,-6.919155e-07,4.076187e-06,-6.919155e-07,2.692356e-06,-9.800024e-05,-2.450006e-05
1.143250e-09,-6.420482e-04,-3.408270e-04,1.000000e-05,1.000000e-05,-5.210058e-05,3.252096e-06,-5.210058e-05,-4.488306e-07,4.140512e-06,-4.488306e-07,3.242850e-06,-9.743951e-05,-2.435988e-05
